tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
561,2,561,Escherichia,"",bacteria,false,1228213388.2149045,99,99,93469.35560107137,9492,3,9342,99.8005,2407.89,10^-303.532,1488.88,673.478,0.00347549,0.000577007,99,31845.75389948007,3234,4,3113,99.515,128.861,10^-89.2176,2039.11,1451.62,0.00433439,0.000637655,[562],1
562,1,561,Escherichia coli,"",bacteria,false,1228213388.2149045,99,99,93469.35560107137,9492,3,9342,99.8005,2407.89,10^-303.532,1488.88,673.478,0.00347549,0.000577007,99,31845.75389948007,3234,4,3113,99.515,128.861,10^-89.2176,2039.11,1451.62,0.00433439,0.000637655,,1
6281,2,6281,Onchocerca,"",eukaryota,false,617122262.4862139,100,,,,,,,,,,,,,100,61712.226248621395,6267,1,6265,73.916,275.925,10^-127.178,,,,,[42157],0
42157,1,6281,Onchocerca ochengi,"",eukaryota,false,617122262.4862139,100,,,,,,,,,,,,,100,61712.226248621395,6267,1,6265,73.916,275.925,10^-127.178,,,,,,0
1678,2,1678,Bifidobacterium,"",bacteria,false,506021545.6121002,100,99,52987.63195210336,5381,8,4835,98.6068,2261.51,10^-275.641,126.582,179.014,0.000485437,0.000686511,100,51500.70899637624,5230,8,4835,95.1308,194.186,10^-130.951,,,,,"[216816, 1685, 1603886, 1680, 1681, 1694, 28025, 35760, 28026, 1686, 2562524, 1630172, 2020964, 1630166, 1333651, 158787]",0
216816,1,1678,Bifidobacterium longum,"",bacteria,false,506021545.6121002,100,100,17971.088703324403,1825,1,1533,98.9986,1272.48,10^-267.327,,,,,100,32810.77674491886,3332,3,3123,97.4962,231.203,10^-161.365,,,,,,0
1685,1,1678,Bifidobacterium breve,"",bacteria,false,358978651.3313377,100,100,34957.460217425556,3550,7,3302,98.4087,2775.97,10^-280.349,,,,,100,1289.979517882464,131,1,12,98.6496,38.374,10^-17.2097,,,,,,0
1603886,1,1678,Bifidobacterium lemurum,"",bacteria,false,163856940.28674963,100,,,,,,,,,,,,,100,16385.694028674963,1664,2,1664,91.0745,141.796,10^-86.3292,,,,,,0
1680,1,1678,Bifidobacterium adolescentis,"",bacteria,false,6400661.729951158,100,,,,,,,,,,,,,100,640.0661729951158,65,1,32,76.0581,51.9538,10^-20.0281,,,,,,0
1681,1,1678,Bifidobacterium bifidum,"",bacteria,false,1181660.627067906,100,,,,,,,,,,,,,100,118.16606270679061,12,,,94.8417,33.1667,10^-11.7989,,,,,,0
